t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    0.587000,   -9.786552,   -9.786552
    0.588000,   -9.801619,   -9.801619
    0.589000,   -9.806831,   -9.806831
    0.590000,   -9.808600,   -9.808600
    0.591000,   -9.811685,   -9.811685
    0.592000,   -9.814299,   -9.814299
    0.593000,   -9.815318,   -9.815318
    0.594000,   -9.815003,   -9.815003
    0.595000,   -9.813532,   -9.813532
    0.596000,   -9.811592,   -9.811592
    0.597000,   -9.808971,   -9.808971
    0.598000,   -9.806182,   -9.806182
    0.599000,   -9.804263,   -9.804263
    0.600000,   -9.803393,   -9.803393
    0.601000,   -9.802637,   -9.802637
    0.602000,   -9.801479,   -9.801479
    0.603000,   -9.800632,   -9.800632
    0.604000,   -9.800295,   -9.800295
    0.605000,   -9.799870,   -9.799870
    0.606000,   -9.799144,   -9.799144
    0.607000,   -9.798264,   -9.798264
    0.608000,   -9.797221,   -9.797221
    0.609000,   -9.795598,   -9.795598
    0.610000,   -9.793797,   -9.793797
    0.611000,   -9.792700,   -9.792700
    0.612000,   -9.792242,   -9.792242
    0.613000,   -9.791283,   -9.791283
    0.614000,   -9.789807,   -9.789807
    0.615000,   -9.789523,   -9.789523
    0.616000,   -9.790303,   -9.790303
    0.617000,   -9.788404,   -9.788404
    0.618000,   -9.787689,   -9.787689
    0.619000,   -9.786563,   -9.786563
    0.620000,   -9.786532,   -9.786532
    0.621000,   -9.784722,   -9.784722
    0.622000,   -9.785789,   -9.785789
    0.623000,   -9.783281,   -9.783281
    0.624000,   -9.786000,   -9.786000
    0.625000,   -9.779997,   -9.779997
    0.626000,   -9.788464,   -9.788464
    0.627000,   -9.773304,   -9.773304
    0.628000,   -9.798326,   -9.798326
    0.629000,   -9.772075,   -9.772075
    0.630000,   -9.774973,   -9.774973
    0.631000,   -9.776097,   -9.776097
    0.632000,   -9.776586,   -9.776586
    0.633000,   -9.777642,   -9.777642
    0.634000,   -9.778603,   -9.778603
    0.635000,   -9.779302,   -9.779302
    0.636000,   -9.780161,   -9.780161
    0.637000,   -9.781292,   -9.781292
    0.638000,   -9.781882,   -9.781882
    0.639000,   -9.781805,   -9.781805
    0.640000,   -9.782001,   -9.782001
    0.641000,   -9.782604,   -9.782604
    0.642000,   -9.782504,   -9.782504
    0.643000,   -9.781514,   -9.781514
    0.644000,   -9.781185,   -9.781185
    0.645000,   -9.782100,   -9.782100
    0.646000,   -9.782539,   -9.782539
    0.647000,   -9.781960,   -9.781960
    0.648000,   -9.781705,   -9.781705
    0.649000,   -9.782498,   -9.782498
    0.650000,   -9.784102,   -9.784102
    0.651000,   -9.784834,   -9.784834
    0.652000,   -9.785215,   -9.785215
    0.653000,   -9.785656,   -9.785656
    0.654000,   -9.786329,   -9.786329
    0.655000,   -9.787552,   -9.787552
    0.656000,   -9.788928,   -9.788928
    0.657000,   -9.789814,   -9.789814
    0.658000,   -9.790186,   -9.790186
    0.659000,   -9.790665,   -9.790665
    0.660000,   -9.791994,   -9.791994
    0.661000,   -9.793847,   -9.793847
    0.662000,   -9.794503,   -9.794503
    0.663000,   -9.794611,   -9.794611
    0.664000,   -9.794857,   -9.794857
    0.665000,   -9.795967,   -9.795967
    0.666000,   -9.797698,   -9.797698
    0.667000,   -9.799589,   -9.799589
    0.668000,   -9.800889,   -9.800889
    0.669000,   -9.801597,   -9.801597
    0.670000,   -9.801910,   -9.801910
    0.671000,   -9.802597,   -9.802597
    0.672000,   -9.803827,   -9.803827
    0.673000,   -9.806677,   -9.806677
    0.674000,   -9.808019,   -9.808019
    0.675000,   -9.809256,   -9.809256
    0.676000,   -9.809872,   -9.809872
    0.677000,   -9.810842,   -9.810842
    0.678000,   -9.811902,   -9.811902
    0.679000,   -9.813034,   -9.813034
    0.680000,   -9.814192,   -9.814192
    0.681000,   -9.815327,   -9.815327
    0.682000,   -9.816416,   -9.816416
    0.683000,   -9.817482,   -9.817482
    0.684000,   -9.818614,   -9.818614
    0.685000,   -9.819850,   -9.819850
    0.686000,   -9.821054,   -9.821054
    0.687000,   -9.822004,   -9.822004
